SWV ITM Data Console - ITM Port: 0
8406,-0.0048,2.754
8407,-0.0097,-0.006
8408,-0.0081,-0.010
8409,-0.0097,-0.010
8409,-0.0081,-0.010
8410,-0.0081,-0.012
8411,-0.0097,-0.006
8412,-0.0097,-0.006
8412,-0.0097,-0.010
8413,-0.0097,-0.006
8414,-0.0097,-0.006
8414,-0.0097,-0.002
8415,-0.0097,-0.010
8416,-0.0081,-0.010
8417,-0.0081,-0.010
8417,-0.0081,-0.008
8418,-0.0097,-0.008
8419,-0.0081,-0.006
8420,-0.0097,-0.010
8420,-0.0081,-0.010
8421,-0.0081,-0.006
8422,-0.0081,-0.008
8423,-0.0097,-0.008
8423,-0.0097,-0.006
8424,-0.0097,-0.010
8425,-0.0081,-0.010
8425,-0.0081,-0.006
8426,-0.0081,-0.010
8427,-0.0097,-0.010
8428,-0.0097,-0.002
8428,-0.0097,-0.006
8429,-0.0081,-0.006
8430,-0.0097,-0.006
8431,-0.0097,-0.008
8431,-0.0097,-0.008
8432,-0.0097,-0.004
8433,-0.0097,-0.006
8434,-0.0081,-0.006
8434,-0.0097,-0.008
8435,-0.0081,-0.008
8436,-0.0081,-0.008
8436,-0.0097,-0.006
8437,-0.0097,-0.006
8438,-0.0097,-0.006
8439,-0.0097,-0.006
8439,-0.0097,-0.006
8440,-0.0097,-0.006
8441,-0.0097,-0.008
8442,-0.0081,-0.008
8442,-0.0081,-0.008
8443,-0.0097,-0.010
8444,-0.0097,-0.004
8444,-0.0097,-0.004
8445,-0.0081,-0.008
8446,-0.0081,-0.004
8447,-0.0081,-0.004
8447,-0.0097,-0.010
8448,-0.0081,-0.010
8449,-0.0097,-0.010
8450,-0.0097,-0.012
8450,-0.0081,-0.008
8451,-0.0097,-0.008
8452,-0.0097,-0.010
8453,-0.0097,-0.008
8453,-0.0097,-0.008
8454,-0.0097,-0.004
8455,-0.0097,-0.008
8455,-0.0081,-0.008
8456,-0.0097,-0.008
8457,-0.0081,-0.010
8458,-0.0097,-0.010
8458,-0.0081,-0.008
8459,-0.0097,-0.006
8460,-0.0097,-0.006
8461,-0.0081,0.000
8461,-0.0081,0.000
8462,-0.0097,-0.008
8463,-0.0081,-0.008
8463,-0.0081,-0.008
