SWV ITM Data Console - ITM Port: 0
0.000,0.2836,6.553
101.000,0.1660,6.553
202.000,0.1692,6.553
303.000,0.1660,6.553
404.000,0.1660,6.553
505.000,0.1627,6.553
606.000,0.1644,6.553
707.000,0.1644,6.553
808.000,0.1627,6.553
909.000,0.1627,6.553
1010.000,0.1627,6.553
1111.000,0.1644,6.553
1212.000,0.1644,6.553
1313.000,0.1627,6.553
1414.000,0.1676,6.553
1515.000,0.1692,6.553
1616.000,0.1708,6.553
1717.000,0.1724,6.553
1818.000,0.1740,6.553
1919.000,0.1756,6.553
2020.000,0.1772,6.553
2121.000,0.1805,6.553
2222.000,0.1805,6.553
2323.000,0.1821,6.553
2424.000,0.1837,6.553
2525.000,0.1837,6.553
2626.000,0.1837,6.553
2727.000,0.1821,6.553
2828.000,0.1805,6.553
2929.000,0.1805,6.553
3030.000,0.1805,6.553
3131.000,0.1789,6.553
3232.000,0.1756,6.553
3333.000,0.1740,6.553
3434.000,0.1708,6.553
3535.000,0.1724,6.553
3636.000,0.1676,6.553
3737.000,0.1692,6.553
3838.000,0.1660,6.553
3939.000,0.1660,6.553
4040.000,0.1660,6.553
4141.000,0.1660,6.553
4242.000,0.1660,6.553
4343.000,0.1676,6.553
4444.000,0.1676,6.553
4545.000,0.1692,6.553
4646.000,0.1708,6.553
4747.000,0.1740,6.553
4848.000,0.1756,6.553
4949.000,0.1772,6.553
5050.000,0.1805,6.553
5151.000,0.1805,6.553
5252.000,0.1821,6.553
5353.000,0.1821,6.553
5454.000,0.1837,6.553
5555.000,0.1837,6.553
5656.000,0.1837,6.553
5757.000,0.1853,6.553
5858.000,0.1821,6.553
5959.000,0.1821,6.553
6060.000,0.1821,6.553
6161.000,0.1789,6.553
6262.000,0.1772,6.553
6363.000,0.1756,6.553
6464.000,0.1724,6.553
6565.000,0.1724,6.553
6666.000,0.1708,6.553
6767.000,0.1676,6.553
6868.000,0.1676,6.553
6969.000,0.1660,6.553
7070.000,0.1676,6.553
7171.000,0.1660,6.553
7272.000,0.1692,6.553
7373.000,0.1692,6.553
7474.000,0.1692,6.553
7575.000,0.1708,6.553
7676.000,0.1740,6.553
7777.000,0.1756,6.553
7878.000,0.1772,6.553
7979.000,0.1789,6.553
8080.000,0.1805,6.553
8181.000,0.1821,6.553
8282.000,0.1837,6.553
8383.000,0.1853,6.553
8484.000,0.1853,6.553
8585.000,0.1853,6.553
8686.000,0.1853,6.553
8787.000,0.1821,6.553
8888.000,0.1837,6.553
8989.000,0.1821,6.553
9090.000,0.1789,6.553
9191.000,0.1772,6.553
