SWV ITM Data Console - ITM Port: 0
51138,0.0145,5.252
51139,0.0209,5.252
51140,0.0209,5.244
51140,0.0209,5.258
51141,0.0209,5.258
51142,0.0226,5.260
51143,0.0209,5.262
51143,0.0209,5.262
51144,0.0209,5.262
51145,0.0209,5.260
51145,0.0209,5.260
51146,0.0209,5.262
51147,0.0209,5.256
51148,0.0209,5.256
51148,0.0209,5.262
51149,0.0209,5.256
51150,0.0209,5.256
51151,0.0209,5.264
51151,0.0209,5.256
51152,0.0226,5.256
51153,0.0209,5.262
51153,0.0209,5.262
51154,0.0209,5.256
51155,0.0209,5.260
51156,0.0209,5.260
51156,0.0226,5.256
51157,0.0209,5.262
51158,0.0209,5.262
51159,0.0209,5.264
51159,0.0209,5.246
51160,0.0209,5.246
51161,0.0209,5.254
51161,0.0209,5.262
51162,0.0209,5.262
51163,0.0209,5.260
51164,0.0209,5.258
51164,0.0209,5.258
51165,0.0209,5.260
51166,0.0209,5.262
51167,0.0209,5.262
51167,0.0226,5.262
51168,0.0209,5.260
51169,0.0209,5.260
51169,0.0226,5.258
51170,0.0226,5.268
51171,0.0209,5.268
51172,0.0209,5.268
51172,0.0209,5.266
51173,0.0209,5.266
51174,0.0209,5.258
51175,0.0209,5.258
51175,0.0226,5.258
51176,0.0226,5.258
51177,0.0209,5.264
51177,0.0209,5.264
51178,0.0209,5.254
51179,0.0209,5.246
51180,0.0209,5.246
51180,0.0209,5.252
51181,0.0226,5.256
51182,0.0209,5.256
51183,0.0209,5.254
51183,0.0209,5.254
51184,0.0209,5.258
51185,0.0226,5.262
51185,0.0209,5.262
51186,0.0226,5.252
51187,0.0209,5.262
51188,0.0209,5.262
51188,0.0209,5.262
51189,0.0209,5.262
51190,0.0209,5.262
51191,0.0209,5.262
51191,0.0209,5.262
51192,0.0209,5.262
51193,0.0209,5.260
51193,0.0209,5.264
51194,0.0209,5.264
51195,0.0209,5.260
51196,0.0209,5.258
51196,0.0209,5.258
51197,0.0209,5.262
51198,0.0209,5.258
51199,0.0209,5.258
51199,0.0209,5.246
51200,0.0209,5.242
51201,0.0209,5.242
51201,0.0209,5.260
51202,0.0209,5.256
51203,0.0209,5.256
51204,0.0209,5.260
51204,0.0209,5.264
51205,0.0209,5.264
51206,0.0209,5.254
51207,0.0209,5.258
51207,0.0209,5.258
51208,0.0209,5.254
51209,0.0209,5.254
51209,0.0226,5.254
51210,0.0209,5.266
51211,0.0209,5.262
51212,0.0209,5.262
51212,0.0226,5.266
51213,0.0226,5.266
51214,0.0209,5.262
51215,0.0209,5.260
51215,0.0209,5.260
51216,0.0209,5.260
51217,0.0209,5.260
51217,0.0209,5.260
51218,0.0209,5.262
51219,0.0226,5.252
51220,0.0209,5.252
51220,0.0209,5.250
51221,0.0209,5.260
51222,0.0226,5.260
51223,0.0209,5.262
51223,0.0209,5.262
51224,0.0209,5.262
51225,0.0209,5.254
51225,0.0209,5.258
51226,0.0226,5.258
51227,0.0226,5.260
51228,0.0209,5.260
51228,0.0226,5.260
51229,0.0209,5.254
51230,0.0209,5.262
51230,0.0209,5.262
51231,0.0209,5.264
51232,0.0209,5.262
51233,0.0209,5.262
51233,0.0226,5.258
51234,0.0209,5.256
51235,0.0209,5.256
51236,0.0209,5.260
51236,0.0209,5.260
51237,0.0209,5.260
51238,0.0209,5.254
51238,0.0209,5.254
51239,0.0226,5.254
51240,0.0209,5.244
51241,0.0209,5.264
51241,0.0209,5.264
51242,0.0209,5.262
51243,0.0209,5.262
51244,0.0226,5.264
51244,0.0209,5.258
51245,0.0226,5.258
51246,0.0209,5.256
