SWV ITM Data Console - ITM Port: 0
188,0.0097,-0.006
188,0.0097,-0.006
189,0.0113,-0.006
190,0.0097,-0.006
191,0.0097,-0.006
191,0.0097,-0.006
192,0.0097,-0.006
193,0.0113,-0.004
193,0.0097,-0.004
194,0.0097,-0.002
195,0.0113,-0.006
196,0.0097,-0.006
196,0.0097,-0.002
197,0.0097,-0.002
198,0.0097,-0.002
198,0.0097,-0.008
199,0.0097,-0.008
200,0.0097,-0.010
201,0.0097,-0.010
201,0.0097,-0.010
202,0.0097,-0.006
203,0.0097,-0.006
203,0.0097,-0.006
204,0.0113,-0.002
205,0.0113,-0.010
206,0.0113,-0.010
206,0.0113,-0.006
207,0.0113,-0.006
208,0.0097,-0.006
208,0.0097,-0.004
209,0.0097,-0.004
210,0.0113,-0.006
211,0.0113,-0.008
211,0.0097,-0.008
212,0.0097,-0.008
213,0.0097,-0.010
213,0.0113,-0.010
214,0.0097,0.000
215,0.0097,0.002
215,0.0097,0.002
216,0.0097,-0.004
217,0.0097,-0.002
218,0.0113,-0.002
218,0.0113,-0.010
219,0.0097,-0.010
220,0.0097,-0.004
220,0.0097,-0.008
221,0.0097,-0.008
222,0.0097,-0.002
223,0.0097,-0.006
223,0.0097,-0.006
224,0.0097,-0.006
225,0.0113,0.000
225,0.0113,0.000
226,0.0097,-0.006
227,0.0097,-0.008
227,0.0113,-0.008
228,0.0097,-0.004
229,0.0097,-0.004
230,0.0097,-0.006
230,0.0113,-0.002
231,0.0113,-0.002
232,0.0097,-0.010
232,0.0113,-0.004
233,0.0097,-0.004
234,0.0097,-0.004
235,0.0097,0.000
235,0.0097,0.000
236,0.0097,-0.010
237,0.0113,-0.010
237,0.0097,-0.006
238,0.0097,-0.002
239,0.0097,-0.002
240,0.0113,-0.008
240,0.0097,-0.008
241,0.0113,-0.008
242,0.0097,-0.010
242,0.0097,-0.010
243,0.0097,-0.010
244,0.0097,-0.008
244,0.0097,-0.004
245,0.0113,-0.004
246,0.0097,-0.008
247,0.0097,-0.006
247,0.0113,-0.006
248,0.0113,-0.006
249,0.0097,-0.006
249,0.0097,-0.008
250,0.0097,-0.008
251,0.0097,-0.008
252,0.0097,-0.004
252,0.0097,-0.006
253,0.0113,-0.006
254,0.0097,-0.004
254,0.0113,-0.002
255,0.0113,-0.002
256,0.0097,-0.006
257,0.0113,-0.010
257,0.0097,-0.010
258,0.0097,0.002
259,0.0113,0.002
259,0.0113,-0.008
260,0.0113,-0.008
261,0.0097,-0.008
262,0.0097,-0.008
262,0.0113,-0.008
263,0.0113,-0.008
264,0.0113,-0.010
264,0.0113,-0.004
265,0.0113,-0.004
266,0.0097,-0.004
267,0.0113,-0.004
267,0.0097,-0.004
268,0.0113,-0.008
269,0.0097,-0.008
